Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684300315.0515172,1832.0,4316.8,60064.0
1684300315.1003766,1832.0,4414.4,60088.0
1684300315.1503494,1748.8,4484.8,60096.0
1684300315.2006187,1748.8,4424.0,59849.6
1684300315.2506516,1752.0,4401.6,59889.6
1684300315.3009465,1752.0,4422.4,59936.0
1684300315.3508453,1752.0,4419.2,59908.8
1684300315.4008014,1680.0,4486.4,59990.4
1684300315.450895,1680.0,4387.2,60118.4
1684300315.5008125,1596.8,4366.4,60156.8
1684300315.5508099,1585.6,4339.2,60272.0
1684300315.60088,1585.6,4200.0,60227.2
1684300315.6508925,1502.4,4179.2,60550.4
1684300315.7008047,1504.0,4137.6,60371.2
1684300315.7508109,1502.4,4086.4,60316.8
1684300315.800783,1502.4,4147.2,60670.4
1684300315.8508575,1500.8,4201.6,60673.6
1684300315.900806,1500.8,4185.6,60648.0
1684300315.9508324,1502.4,4273.6,60708.8
1684300316.0007882,1504.0,4230.4,60945.6
1684300316.050847,1504.0,4257.6,60993.6
1684300316.10081,1456.0,4270.4,60964.8
1684300316.1509886,1456.0,4340.8,61280.0
1684300316.2009103,1456.0,4430.4,61459.2
1684300316.2508838,1374.4,4403.2,61486.4
1684300316.3009105,1372.8,4284.8,61609.6
1684300316.3508003,1374.4,4248.0,61713.6
1684300316.4007986,1464.0,4347.2,61612.8
1684300316.4508455,1464.0,4296.0,61457.6
1684300316.5007951,1459.2,4198.4,61548.8
1684300316.5507746,1459.2,4187.2,61795.2
1684300316.6007783,1459.2,4265.6,61832.0
1684300316.6508422,1380.8,4384.0,61857.6
1684300316.7008307,1380.8,4457.6,61800.0
1684300316.7507782,1380.8,4476.8,61852.8
1684300316.800774,1459.2,4625.6,61560.0
1684300316.850823,1473.6,4824.0,61446.4
1684300316.9008183,1390.4,4825.6,61467.2
1684300316.9507692,1393.6,4892.8,61608.0
1684300317.0007892,1310.4,4761.6,61550.4
1684300317.051173,1230.4,4761.6,61622.4
1684300317.1009276,1308.8,4772.8,61374.4
1684300317.1510184,1310.4,4723.2,61340.8
1684300317.2008543,1315.2,4692.8,61654.4
1684300317.2509,1313.6,4867.2,61736.0
1684300317.3009386,1313.6,4876.8,61771.2
1684300317.3508809,1315.2,4875.2,61822.4
1684300317.4009387,1307.2,4798.4,61758.4
1684300317.4509163,1307.2,4798.4,61742.4
1684300317.5008028,1387.2,4900.8,61468.8
1684300317.5510361,1388.8,5022.4,61515.2
1684300317.6008618,1388.8,5012.8,61542.4
1684300317.650889,1388.8,4985.6,61462.4
1684300317.7007947,1302.4,4936.0,61721.6
1684300317.7508051,1304.0,4904.0,61825.6
1684300317.8007712,1304.0,5144.0,61812.8
1684300317.8508747,1305.6,5020.8,61726.4
1684300317.9007788,1308.8,5049.6,61796.8
1684300317.9507952,1308.8,4992.0,61731.2
1684300318.0009224,1308.8,4992.0,61723.2
1684300318.0508842,1312.0,4960.0,61713.6
1684300318.100805,1308.8,4948.8,61678.4
1684300318.151044,1308.8,4947.2,61648.0
1684300318.200841,1385.6,4868.8,61646.4
1684300318.250921,1385.6,4857.6,61659.2
1684300318.3009171,1385.6,4857.6,61646.4
1684300318.3514194,1382.4,4896.0,61668.8
1684300318.4008179,1294.4,4817.6,61728.0
1684300318.4505794,1294.4,4745.6,61513.6
1684300318.4996383,1294.4,4726.4,61504.0
1684300318.5494657,1294.4,4708.8,61515.2
1684300318.600831,1294.4,4648.0,61601.6
1684300318.6509967,1457.6,4627.2,61174.4
1684300318.700824,1457.6,4568.0,61204.8
1684300318.7508037,1460.8,4569.6,61185.6
1684300318.8008177,1384.0,4513.6,61441.6
1684300318.8508472,1371.2,4412.8,61372.8
1684300318.900824,1449.6,4411.2,61340.8
1684300318.9507692,1448.0,4480.0,61270.4
1684300319.000792,1448.0,4510.4,61246.4
1684300319.0508451,1531.2,4699.2,60824.0
1684300319.1008306,1456.0,4622.4,61064.0
1684300319.150989,1456.0,4592.0,61185.6
1684300319.2009628,1532.8,4624.0,61110.4
1684300319.2508779,1532.8,4462.4,61057.6
1684300319.3009553,1531.2,4430.4,61051.2
1684300319.3507984,1531.2,4411.2,60972.8
1684300319.401117,1531.2,4420.8,60977.6
1684300319.4515715,1531.2,4420.8,60606.4
1684300319.5012958,1451.2,4332.8,60553.6
1684300319.5499535,1451.2,4424.0,60508.8
1684300319.5998728,1451.2,4462.4,60582.4
1684300319.65092,1451.2,4510.4,60640.0
1684300319.700824,1451.2,4611.2,60604.8
1684300319.7508214,1532.8,4712.0,60393.6
1684300319.80079,1532.8,4411.2,60339.2
1684300319.8509905,1532.8,4529.6,60392.0
1684300319.9008496,1529.6,4603.2,60329.6
1684300319.950846,1742.4,4612.8,60326.4
1684300320.000789,2409.6,4582.4,60372.8
1684300320.050846,3067.2,4486.4,60392.0
1684300320.100817,3676.8,4488.0,60433.6
1684300320.1511047,4321.6,4417.6,60473.6
1684300320.2008774,4929.6,4408.0,60462.4
1684300320.250911,5606.4,4417.6,60473.6
1684300320.3008995,6292.8,4448.0,60537.6
1684300320.3508105,6952.0,4446.4,60476.8
1684300320.400786,7566.4,4436.8,60468.8
1684300320.4509506,8238.4,4468.8,60737.6
1684300320.5008159,8859.2,4595.2,60662.4
1684300320.5507884,9496.0,4633.6,60704.0
1684300320.6007836,10144.0,4614.4,60641.6
