Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684300054.6004167,2217.6,4346.666666666667,61696.0
1684300054.650462,2269.866666666667,4461.866666666667,61809.066666666666
1684300054.7005484,2326.4,4539.733333333334,61633.066666666666
1684300054.7504528,2272.0,4525.866666666667,61648.0
1684300054.8004324,2328.5333333333333,4594.133333333333,61540.26666666667
1684300054.850467,2385.0666666666666,4588.8,61384.53333333333
1684300054.9005182,2331.733333333333,4576.0,61400.53333333333
1684300054.9504793,2277.3333333333335,4507.733333333334,61387.73333333333
1684300055.0006382,2276.266666666667,4445.866666666667,61370.666666666664
1684300055.0505016,2278.4,4445.866666666667,61353.6
1684300055.1013315,2282.6666666666665,4413.866666666667,61388.8
1684300055.150862,2229.3333333333335,4412.8,61380.26666666667
1684300055.2001784,2176.0,4467.2,61389.86666666667
1684300055.2497962,2173.866666666667,4478.933333333333,61385.6
1684300055.2996058,2174.9333333333334,4538.666666666667,61600.0
1684300055.3495376,2033.0666666666666,4586.666666666667,61612.8
1684300055.4004915,2033.0666666666666,4580.266666666666,61574.4
1684300055.4504852,1778.1333333333334,4531.2,61574.4
1684300055.5005238,1779.2,4612.266666666666,61438.933333333334
1684300055.5504577,1725.8666666666666,4605.866666666667,61486.933333333334
1684300055.6007457,1725.8666666666666,4617.6,61477.333333333336
1684300055.6505685,1726.9333333333334,4616.533333333334,61491.2
1684300055.7005646,1728.0,4496.0,61598.933333333334
1684300055.750475,1731.2,4443.733333333334,61625.6
1684300055.8004768,1728.0,4443.733333333334,61562.666666666664
1684300055.8504431,1730.1333333333334,4456.533333333334,61495.46666666667
1684300055.9005282,1518.9333333333334,4422.4,61651.2
1684300055.950463,1383.4666666666667,4370.133333333333,61714.13333333333
1684300056.0006866,1384.5333333333333,4356.266666666666,61689.6
1684300056.0504615,1384.5333333333333,4436.266666666666,61730.13333333333
1684300056.1005714,1382.4,4476.8,61700.26666666667
1684300056.1504676,1328.0,4496.0,61737.6
1684300056.2004874,1328.0,4490.666666666667,61770.666666666664
1684300056.2512615,1280.0,4533.333333333333,61879.46666666667
1684300056.3008258,1280.0,4525.866666666667,61824.0
1684300056.349528,1280.0,4525.866666666667,61584.0
1684300056.3994899,1281.0666666666666,4539.733333333334,61382.4
1684300056.4495866,1282.1333333333334,4533.333333333333,61401.6
1684300056.5005326,1322.6666666666667,4533.333333333333,61303.46666666667
1684300056.55049,1323.7333333333333,4586.666666666667,61474.13333333333
1684300056.6004324,1377.0666666666666,4707.2,61282.13333333333
1684300056.6504402,1377.0666666666666,4780.8,61188.26666666667
1684300056.700654,1378.1333333333334,4787.2,61224.53333333333
1684300056.7505198,1433.6,4846.933333333333,61038.933333333334
1684300056.8004723,1489.0666666666666,4784.0,61164.8
1684300056.8504727,1545.6,4785.066666666667,61233.066666666666
1684300056.9005153,1546.6666666666667,4846.933333333333,61253.333333333336
1684300056.9504795,1422.9333333333334,4779.733333333334,61236.26666666667
1684300057.0009837,1422.9333333333334,4785.066666666667,61235.2
1684300057.0508041,1477.3333333333333,4793.6,61236.26666666667
1684300057.100199,1424.0,4792.533333333334,61117.86666666667
