Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684387445.9895449,2078.4,8438.4,60689.6
1684387446.039639,2078.4,8443.2,60603.2
1684387446.0895832,2115.2,8345.6,60689.6
1684387446.1395361,2116.8,8406.4,60884.8
1684387446.1895473,2113.6,8388.8,61142.4
1684387446.2395875,2224.0,8497.6,61201.6
1684387446.2895772,2222.4,8502.4,61209.6
1684387446.3395302,2248.0,8691.2,61196.8
1684387446.389764,2046.4,8732.8,61257.6
1684387446.4397826,2046.4,8593.6,61291.2
1684387446.4898665,2044.8,8592.0,61320.0
1684387446.539635,2044.8,8571.2,61369.6
1684387446.589761,2046.4,8619.2,61308.8
1684387446.6396608,2148.8,8364.8,61446.4
1684387446.6895492,2148.8,8382.4,61494.4
1684387446.7403848,2270.4,8291.2,61216.0
1684387446.790257,2222.4,8366.4,61160.0
1684387446.837874,2224.0,8336.0,61092.8
1684387446.8876438,2260.8,8473.6,61073.6
1684387446.9376423,2259.2,8475.2,61134.4
1684387446.9877317,2262.4,8377.6,61038.4
1684387447.0376298,2158.4,8142.4,61192.0
1684387447.0875754,2163.2,7996.8,61113.6
1684387447.1374753,2254.4,8030.4,61198.4
1684387447.1876493,2254.4,8003.2,61100.8
1684387447.2375834,2254.4,8014.4,61084.8
1684387447.2875276,2348.8,7764.8,61104.0
1684387447.3374677,2352.0,7800.0,61139.2
1684387447.3874655,2507.2,7760.0,61113.6
1684387447.4375455,2403.2,7899.2,61355.2
1684387447.4874754,2315.2,7774.4,61600.0
1684387447.537509,2137.6,7776.0,62003.2
1684387447.589774,2080.0,7715.2,62046.4
1684387447.6396775,2081.6,7716.8,62056.0
1684387447.6895607,1886.4,7731.2,62302.4
1684387447.7395418,1883.2,7798.4,62044.8
1684387447.7895577,1878.4,7910.4,62022.4
1684387447.8398678,1876.8,7652.8,62051.2
1684387447.889614,1960.0,7758.4,61806.4
1684387447.9395754,1985.6,7539.2,62080.0
1684387447.9895504,1968.0,7596.8,62105.6
1684387448.039739,1968.0,7577.6,62038.4
1684387448.0900679,1891.2,7694.4,61889.6
1684387448.1407874,1894.4,7694.4,61728.0
1684387448.1877208,1891.2,7891.2,61683.2
1684387448.2375019,1884.8,7800.0,61651.2
1684387448.2875583,1886.4,7860.8,61686.4
1684387448.3374796,1862.4,7889.6,61731.2
1684387448.387463,1862.4,7768.0,61700.8
1684387448.437457,1862.4,7841.6,61769.6
1684387448.4875183,1865.6,7633.6,61684.8
1684387448.5374622,1865.6,7633.6,61772.8
1684387448.587627,1900.8,7592.0,61833.6
1684387448.6374774,1796.8,7763.2,61872.0
1684387448.6875226,1798.4,7819.2,61856.0
1684387448.7374613,1792.0,7878.4,61931.2
1684387448.7874649,1792.0,7897.6,61980.8
1684387448.8374746,1792.0,8113.6,62054.4
1684387448.8896096,1811.2,8016.0,62036.8
1684387448.9397633,1812.8,7976.0,62004.8
1684387448.9896057,1897.6,8289.6,61771.2
1684387449.0395918,1889.6,8289.6,61745.6
1684387449.089653,1884.8,8380.8,61963.2
1684387449.1395366,1796.8,8224.0,61964.8
1684387449.1903646,1798.4,8339.2,62062.4
1684387449.239821,1795.2,8318.4,62145.6
1684387449.2887564,1755.2,8408.0,62134.4
1684387449.338594,1753.6,8372.8,62099.2
1684387449.388692,1734.4,8432.0,62184.0
1684387449.4395597,1731.2,8372.8,62187.2
1684387449.4897795,1729.6,8382.4,62166.4
1684387449.5395508,1820.8,8558.4,62158.4
1684387449.5897973,1763.2,8521.6,62136.0
1684387449.6395667,1763.2,8726.4,62153.6
1684387449.6896555,1763.2,8654.4,61950.4
1684387449.7395403,1763.2,8545.6,62222.4
1684387449.7895572,1764.8,8416.0,62224.0
1684387449.8395157,1764.8,8486.4,62232.0
1684387449.8896642,1676.8,8369.6,62400.0
1684387449.9395266,1803.2,8360.0,62406.4
1684387449.9895473,1801.6,8369.6,62344.0
1684387450.039589,1916.8,8520.0,62388.8
1684387450.08963,1956.8,8462.4,62422.4
1684387450.1395407,1952.0,8412.8,62518.4
1684387450.189538,2027.2,8392.0,62560.0
1684387450.2395256,1921.6,8403.2,62480.0
1684387450.2896307,1921.6,8502.4,62475.2
1684387450.3395693,1926.4,8304.0,62449.6
1684387450.3895159,1926.4,8305.6,62406.4
1684387450.439526,1926.4,8312.0,62382.4
1684387450.4895847,1924.8,8392.0,62419.2
1684387450.5395207,1924.8,8372.8,62342.4
1684387450.5897336,2011.2,8433.6,62342.4
1684387450.6397557,2011.2,8441.6,62404.8
1684387450.6896057,2009.6,8358.4,62377.6
1684387450.739558,1892.8,8350.4,62564.8
1684387450.789509,1894.4,8208.0,62600.0
1684387450.839553,1920.0,8211.2,62532.8
1684387450.8895967,1865.6,8188.8,62569.6
1684387450.9395802,1865.6,8316.8,62545.6
1684387450.9895203,1787.2,7972.8,62825.6
1684387451.0395901,1790.4,7982.4,62851.2
1684387451.089617,1790.4,7988.8,62832.0
1684387451.1395674,1900.8,8008.0,62849.6
1684387451.1895328,1899.2,7891.2,62840.0
1684387451.2395427,2022.4,8020.8,62836.8
1684387451.2896006,1968.0,8105.6,62576.0
1684387451.3395052,1964.8,8252.8,62656.0
1684387451.3895175,1828.8,8371.2,62632.0
1684387451.4397953,1835.2,8323.2,62659.2
1684387451.4897661,1923.2,8569.6,62358.4
1684387451.5395937,1835.2,8308.8,62292.8
1684387451.589783,1835.2,8316.8,62310.4
1684387451.6395998,1990.4,8065.6,62214.4
1684387451.6896207,1995.2,7988.8,62499.2
1684387451.7395246,2182.4,8078.4,62121.6
1684387451.7895486,2326.4,8139.2,62158.4
1684387451.8395176,2324.8,8148.8,62203.2
1684387451.8896549,2390.4,8318.4,62240.0
1684387451.9395256,2153.6,8387.2,62286.4
1684387451.9895675,2160.0,8350.4,62337.6
1684387452.0395648,2046.4,8377.6,62436.8
1684387452.0896351,1960.0,8345.6,62537.6
1684387452.13957,1963.2,8457.6,62620.8
1684387452.1895523,1888.0,8291.2,62619.2
1684387452.2395146,1889.6,8251.2,62731.2
1684387452.289608,2062.4,8062.4,62785.6
1684387452.3395221,2057.6,8083.2,62769.6
1684387452.3895035,2059.2,8060.8,62804.8
1684387452.4395154,2182.4,8139.2,62843.2
1684387452.489728,2180.8,8139.2,62841.6
1684387452.5396042,2182.4,8139.2,62918.4
1684387452.58991,2086.4,8110.4,62816.0
1684387452.639602,2084.8,7976.0,62801.6
1684387452.6895998,2088.0,8142.4,62827.2
1684387452.739539,2675.2,8108.8,62878.4
1684387452.7895145,3254.4,8217.6,62811.2
1684387452.8397794,3780.8,7958.4,62881.6
1684387452.8896563,4323.2,7969.6,62801.6
1684387452.9395769,4942.4,7838.4,62857.6
1684387452.9895294,5646.4,7968.0,62699.2
1684387453.0395818,6278.4,7948.8,62608.0
1684387453.0896006,6926.4,8000.0,62665.6
1684387453.1395524,7422.4,8078.4,62720.0
1684387453.189524,8014.4,8097.6,62641.6
1684387453.2394967,8502.4,8097.6,62598.4
1684387453.2895858,9110.4,7923.2,62766.4
1684387453.3395066,9708.8,7862.4,62680.0
1684387453.389534,10361.6,7604.8,62576.0
1684387453.4394956,10908.8,7532.8,62422.4
1684387453.489595,11374.4,7171.2,62601.6
1684387453.5395105,11924.8,7196.8,62395.2
1684387453.5898757,12470.4,7107.2,62152.0
1684387453.6395824,12859.2,7112.0,62107.2
1684387453.6896305,13488.0,7120.0,61667.2
1684387453.73952,13835.2,7001.6,61862.4
1684387453.7895286,14225.6,6900.8,61744.0
1684387453.8395085,14777.6,6780.8,61539.2
1684387453.889575,15236.8,6752.0,61350.4
1684387453.9395506,15782.4,6681.6,61118.4
