Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684219058.5765843,4160,832,62976
1684219058.6265824,28544,5184,63104
1684219058.676579,30848,5312,52928
1684219058.726588,25664,960,62464
1684219058.7765844,24320,1152,61824
1684219058.8265834,24320,7552,64576
1684219058.87659,24512,704,61952
1684219058.9265943,25280,896,63616
1684219058.9765875,25600,1344,62144
1684219059.02661,25920,3264,62336
1684219059.0765789,25728,1728,54208
1684219059.1265845,25856,768,65344
1684219059.1765854,25088,6336,64448
1684219059.2265804,25536,960,61312
1684219059.2765825,26368,7168,62080
1684219059.3265843,26176,1152,63616
1684219059.3765848,25280,896,65472
1684219059.426582,24512,2816,63360
1684219059.4765842,24320,960,61440
1684219059.5267084,27072,832,62336
1684219059.576608,27072,896,63104
1684219059.626586,23808,1344,62144
1684219059.676585,24576,768,65472
1684219059.726589,26688,1344,62272
1684219059.7766142,30464,4928,59968
1684219059.8265784,24704,4800,64704
1684219059.8765912,24000,1408,62784
1684219059.9265938,27520,4992,58688
1684219059.9765854,23232,4800,64000
1684219060.0265825,26816,4544,57792
1684219060.0765865,26240,8384,56128
1684219060.1265893,22784,1024,60544
1684219060.176586,22912,960,57664
1684219060.2265832,27520,4480,48576
1684219060.2765806,26816,4672,49344
1684219060.3265839,26112,4864,45888
1684219060.376611,21824,4416,55168
1684219060.4265912,26368,2240,58112
1684219060.4765828,25856,11008,45568
1684219060.5265925,22400,6336,57408
1684219060.5765867,26176,5056,41856
1684219060.6266072,22592,6016,52672
1684219060.6765776,22208,3712,54400
1684219060.7265866,24768,8384,52352
1684219060.7765858,22016,832,51648
1684219060.826581,22144,768,50624
1684219060.876589,22080,704,50368
1684219060.9265883,22080,960,51072
1684219060.9765851,22208,832,52928
1684219061.0265825,21824,1664,51840
1684219061.076581,22528,768,48192
1684219061.1265843,21632,4416,51712
1684219061.1765847,22016,1152,51904
1684219061.2265804,22400,768,50752
1684219061.2766025,22144,10496,51840
1684219061.3265827,22464,704,49984
1684219061.3766098,21376,4032,53696
1684219061.426579,22144,768,50816
1684219061.4765797,22080,704,52800
1684219061.5266085,22144,832,51648
1684219061.57659,22464,832,52608
1684219061.6265872,22464,768,51264
1684219061.676577,22080,1152,51136
1684219061.7265835,22336,960,48256
1684219061.7765844,21312,4032,48320
1684219061.8265808,22528,1152,49472
1684219061.8765914,22272,768,48640
1684219061.9265926,20992,4736,49088
1684219061.9765859,22400,960,49408
1684219062.026583,21760,4032,48256
