Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684310776.7166646,1233.6,4720.0,62534.4
1684310776.766603,1153.6,4620.8,62560.0
1684310776.8165963,1153.6,4524.8,62582.4
1684310776.8666208,1233.6,4603.2,62304.0
1684310776.916671,1232.0,4611.2,62288.0
1684310776.9666264,1232.0,4504.0,62512.0
1684310777.016832,1302.4,4446.4,62494.4
1684310777.06687,1302.4,4262.4,62486.4
1684310777.1167543,1302.4,4208.0,62460.8
1684310777.1666543,1300.8,4187.2,62385.6
1684310777.2165875,1299.2,4235.2,62376.0
1684310777.2668486,1299.2,4286.4,62425.6
1684310777.3166776,1299.2,4206.4,62374.4
1684310777.3666286,1299.2,4244.8,62340.8
1684310777.4165816,1299.2,4216.0,62294.4
1684310777.4665976,1299.2,4246.4,62289.6
1684310777.5166533,1297.6,4150.4,62307.2
1684310777.566624,1299.2,4249.6,62152.0
1684310777.6165876,1132.8,4078.4,62510.4
1684310777.6665761,1126.4,4097.6,62531.2
1684310777.7166462,1123.2,4273.6,62531.2
1684310777.7665935,1043.2,4190.4,62576.0
1684310777.8165934,1049.6,4187.2,62646.4
1684310777.8665679,1046.4,4238.4,62646.4
1684310777.9166548,1044.8,4299.2,62353.6
1684310777.9665747,1124.8,4364.8,62028.8
1684310778.0165963,1124.8,4384.0,62051.2
1684310778.0666184,1209.6,4444.8,61784.0
1684310778.116683,1291.2,4531.2,61705.6
1684310778.1666114,1294.4,4352.0,61702.4
1684310778.216632,1377.6,4353.6,61680.0
1684310778.2667727,1459.2,4299.2,61726.4
1684310778.3166857,1377.6,4198.4,61990.4
1684310778.3666563,1379.2,4177.6,62017.6
1684310778.4165792,1384.0,4220.8,61984.0
1684310778.4666297,1376.0,4219.2,62025.6
1684310778.5166574,1379.2,4219.2,62064.0
1684310778.5665762,1377.6,4201.6,62032.0
1684310778.6165853,1382.4,4171.2,62115.2
1684310778.666592,1464.0,4340.8,61828.8
1684310778.716651,1465.6,4331.2,61892.8
1684310778.7669063,1465.6,4331.2,61864.0
1684310778.816607,1465.6,4233.6,61833.6
1684310778.866612,1387.2,4144.0,62132.8
1684310778.916642,1388.8,4132.8,62187.2
1684310778.9666197,1388.8,4126.4,62270.4
1684310779.0165787,1307.2,4104.0,62243.2
1684310779.0666451,1312.0,4124.8,62251.2
1684310779.1166573,1312.0,4155.2,62219.2
1684310779.1666183,1312.0,4155.2,62235.2
1684310779.2165961,1395.2,4116.8,61988.8
1684310779.2668052,1838.4,4008.0,61912.0
1684310779.316671,2446.4,4116.8,62004.8
1684310779.3673294,2972.8,4027.2,62043.2
1684310779.4175854,3488.0,4027.2,62131.2
1684310779.466002,4020.8,4147.2,62065.6
1684310779.5153553,4572.8,4291.2,62008.0
1684310779.5652578,5145.6,4192.0,62217.6
1684310779.61671,5708.8,4190.4,62300.8
1684310779.666867,6355.2,4212.8,62233.6
1684310779.7168002,6937.6,4028.8,62092.8
1684310779.7666397,7627.2,4040.0,62012.8
1684310779.8167782,8204.8,4001.6,61945.6
1684310779.866623,8776.0,3990.4,61859.2
1684310779.91671,9422.4,3900.8,62000.0
1684310779.966609,9902.4,3875.2,62150.4
1684310780.01671,10456.0,3803.2,62070.4
1684310780.0666337,10928.0,3803.2,62228.8
1684310780.116671,11400.0,3726.4,62104.0
1684310780.166611,11873.6,3702.4,62184.0
1684310780.2166147,12347.2,3670.4,61993.6
1684310780.2668118,12819.2,3697.6,61561.6
1684310780.3167138,13379.2,3737.6,61516.8
1684310780.3666008,13934.4,3716.8,61320.0
