Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684293653.6535854,1693.8666666666666,12818.133333333333,61458.13333333333
1684293653.7036016,1639.4666666666667,12829.866666666667,61545.6
1684293653.7536373,1634.1333333333334,12710.4,61548.8
1684293653.8035717,1634.1333333333334,12738.133333333333,61568.0
1684293653.8537033,1576.5333333333333,12685.866666666667,61581.86666666667
1684293653.9038854,1524.2666666666667,12685.866666666667,61546.666666666664
1684293653.9537456,1520.0,12695.466666666667,61517.86666666667
1684293654.0031917,1521.0666666666666,12624.0,61574.4
1684293654.053239,1469.8666666666666,12640.0,61761.066666666666
1684293654.1035786,1467.7333333333333,12613.333333333334,61689.6
1684293654.1536977,1467.7333333333333,12619.733333333334,61715.2
1684293654.2039237,1475.2,12803.2,61500.8
1684293654.2545075,1481.6,12822.4,61689.6
1684293654.303111,1483.7333333333333,12823.466666666667,61813.333333333336
1684293654.3529544,1483.7333333333333,12776.533333333333,61757.86666666667
1684293654.403193,1483.7333333333333,12715.733333333334,61739.73333333333
1684293654.4532132,1537.0666666666666,12696.533333333333,61749.333333333336
1684293654.503937,1538.1333333333334,12691.2,61645.86666666667
1684293654.5538206,1538.1333333333334,12770.133333333333,61609.6
1684293654.6036465,1649.0666666666666,12744.533333333333,61492.26666666667
1684293654.653575,1498.6666666666667,12636.8,61511.46666666667
1684293654.7035785,1553.0666666666666,12672.0,61560.53333333333
1684293654.7536585,1603.2,12727.466666666667,61553.066666666666
1684293654.8035653,1598.9333333333334,12701.866666666667,61545.6
1684293654.8535523,1605.3333333333333,12690.133333333333,61753.6
1684293654.903979,1602.1333333333334,12622.933333333332,61771.73333333333
1684293654.953702,1546.6666666666667,12588.8,61741.86666666667
1684293655.0036106,1550.9333333333334,12581.333333333334,61720.53333333333
1684293655.053631,1550.9333333333334,12556.8,61699.2
1684293655.1036077,1550.9333333333334,12457.6,61739.73333333333
1684293655.153653,1603.2,12449.066666666668,61752.53333333333
1684293655.2036088,1603.2,12455.466666666667,61722.666666666664
1684293655.25357,1603.2,12481.066666666668,61737.6
1684293655.3035824,1603.2,12535.466666666667,61689.6
1684293655.3536317,1549.8666666666666,12635.733333333334,61709.86666666667
1684293655.4035902,1495.4666666666667,12597.333333333334,61706.666666666664
1684293655.4536,1495.4666666666667,12637.866666666667,61687.46666666667
1684293655.5035598,1495.4666666666667,12612.266666666666,61689.6
1684293655.5536566,1495.4666666666667,12540.8,61701.333333333336
1684293655.6036053,1495.4666666666667,12654.933333333332,61720.53333333333
1684293655.6535897,1495.4666666666667,12549.333333333334,61669.333333333336
1684293655.703564,1499.7333333333333,12474.666666666666,61641.6
1684293655.7536373,1499.7333333333333,12449.066666666668,61574.4
1684293655.803562,1499.7333333333333,12355.2,61594.666666666664
1684293655.8535764,1550.9333333333334,12432.0,61577.6
1684293655.9038794,1498.6666666666667,12406.4,61297.066666666666
1684293655.9537141,1497.6,12462.933333333332,61137.066666666666
1684293656.0035763,1550.9333333333334,12577.066666666668,61005.86666666667
1684293656.053594,1497.6,12590.933333333332,61187.2
1684293656.1035492,1497.6,12508.8,61180.8
1684293656.1536427,1553.0666666666666,12569.6,61022.933333333334
1684293656.2035563,1608.5333333333333,12595.2,60814.933333333334
1684293656.253589,1616.0,12615.466666666667,60857.6
1684293656.3035817,1565.8666666666666,12577.066666666668,60813.86666666667
1684293656.3536155,1562.6666666666667,12503.466666666667,60811.73333333333
1684293656.403555,1510.4,12445.866666666667,60857.6
1684293656.453598,1510.4,12439.466666666667,60864.0
1684293656.5035806,1509.3333333333333,12544.0,60898.13333333333
1684293656.553616,1511.4666666666667,12564.266666666666,60872.53333333333
1684293656.603594,1508.2666666666667,12552.533333333333,60848.0
1684293656.653546,1507.2,12564.266666666666,60898.13333333333
1684293656.7035658,1561.6,12571.733333333334,60797.86666666667
1684293656.7536175,1558.4,12698.666666666666,60750.933333333334
1684293656.80355,1558.4,12664.533333333333,60794.666666666664
1684293656.8535697,1703.4666666666667,12691.2,60809.6
1684293656.9038458,1702.4,12661.333333333334,60777.6
1684293656.9537,1702.4,12553.6,60801.066666666666
1684293657.0035422,1701.3333333333333,12625.066666666668,60785.066666666666
1684293657.0535717,1701.3333333333333,12604.8,60789.333333333336
1684293657.1039362,1700.2666666666667,12684.8,60700.8
1684293657.1537445,1700.2666666666667,12745.6,60608.0
1684293657.2031903,1638.4,12633.6,60800.0
1684293657.2531724,1635.2,12622.933333333332,60784.0
1684293657.3039086,1744.0,12571.733333333334,60790.4
1684293657.3538475,1799.4666666666667,12625.066666666668,60826.666666666664
1684293657.4032047,1799.4666666666667,12688.0,60826.666666666664
1684293657.4533072,1746.1333333333334,12581.333333333334,60834.13333333333
1684293657.5035884,1689.6,12635.733333333334,60825.6
1684293657.5537016,1800.5333333333333,12611.2,60848.0
1684293657.6035824,1745.0666666666666,12574.933333333332,60877.86666666667
1684293657.653559,1688.5333333333333,12632.533333333333,61068.8
1684293657.703857,1685.3333333333333,12648.533333333333,61149.86666666667
1684293657.7537315,1635.2,12574.933333333332,61362.13333333333
1684293657.8036287,1635.2,12580.266666666666,61386.666666666664
1684293657.8535829,1627.7333333333333,12572.8,61321.6
1684293657.903879,1625.6,12646.4,61303.46666666667
1684293657.9536548,1627.7333333333333,12651.733333333334,61333.333333333336
1684293658.0035794,1624.5333333333333,12600.533333333333,61388.8
1684293658.0535934,1624.5333333333333,12580.266666666666,61364.26666666667
1684293658.1036234,1677.8666666666666,12528.0,61285.333333333336
1684293658.1536503,1624.5333333333333,12542.933333333332,61272.53333333333
1684293658.203587,1624.5333333333333,12537.6,61337.6
1684293658.2535467,1623.4666666666667,12510.933333333332,61318.4
1684293658.3035705,1622.4,12451.2,61351.46666666667
1684293658.3536215,1622.4,12330.666666666666,61381.333333333336
1684293658.403588,1938.1333333333334,12330.666666666666,61382.4
1684293658.4535878,2388.266666666667,12291.2,61426.13333333333
1684293658.5035443,2825.6,12316.8,61430.4
1684293658.553628,3191.4666666666667,12389.333333333334,61433.6
1684293658.6035655,3565.866666666667,12315.733333333334,61400.53333333333
1684293658.6535966,3953.0666666666666,12347.733333333334,61435.73333333333
1684293658.7035537,4337.066666666667,12455.466666666667,61438.933333333334
1684293658.7536237,4718.933333333333,12462.933333333332,61457.066666666666
1684293658.803553,5162.666666666667,12622.933333333332,61287.46666666667
1684293658.8535278,5507.2,12643.2,61290.666666666664
1684293658.9038696,5894.4,12690.133333333333,61568.0
